id	token
5208	▁১
6643	▁২
12998	▁২০
14862	▁১৯
15848	▁৩
17757	▁৫
18071	▁৪
21074	▁१
21487	▁৬
23492	▁৭
23724	▁২০১
24824	▁১৯৭১
25592	▁৮
26841	▁२
27554	▁১২
28651	▁১০
28957	▁১৩
29731	▁۱
30788	▁৯
37794	▁۲
40011	▁১১
42884	▁১৫
42887	▁১৮
43451	▁০
45119	▁২৫
49226	▁২৪
50663	▁२०
51238	▁২০০
51420	▁১৩২২
52324	▁১৬
53502	▁৩০
53829	▁১৭
56719	▁३
58479	▁১৪
58837	▁৫০
63161	▁۲۰
63992	▁২২
64050	▁২৮
65979	▁४
68595	▁২১
71041	▁২৩
71642	▁¹
72621	▁५
74945	▁६
78416	▁২৭
79087	▁৪০
79584	▁২৬
79659	▁১০০
81491	▁۱۳
82327	▁१०
82528	▁২০১২
82668	▁१९
85761	▁①
91925	▁۳
92150	▁१८
93791	▁১৯৬
96092	▁২০২৩
96778	▁২৯
101126	▁②
103370	▁९
103746	▁८
104646	▁২০১১
105771	▁۵
106232	▁২০১৭
109131	▁২০১৬
110183	▁७
113426	▁২০২১
113432	▁۱۹
113516	▁৩১
114499	▁۲۰۱
115241	▁١
116325	▁۴
118240	▁৬০
120760	▁১৯৮
122366	▁৭৫
123971	▁२०२
126442	▁১৯৯
127544	▁২০১৯
128404	▁१६
128458	▁၁
130949	▁٢
131917	▁③
132402	▁৪৮
134654	▁২০১৪
135309	▁৩০০
137418	▁२५
138057	▁۶
138463	▁৮০
142235	▁৭০
145191	▁²
148139	▁৩৫
148872	▁১৯৭
150580	▁৪৫
151400	▁২০১৫
152124	▁۹
152183	▁৯০
152646	▁૧
153017	▁২০২২
153485	▁१५
154191	▁۷
154430	▁২০১৮
156370	▁³
156466	▁۸
157628	▁০৯
158281	▁१२
159525	▁၂
165078	▁۱۳۹
167117	▁२०१
168829	▁۱۰
170573	▁৩২
171889	▁૨
172622	▁२०२२
172968	▁۱۴
173274	▁৫০০
175182	▁④
178082	▁০১
178535	▁२४
179521	▁২০২০
181668	▁২০১৩
182481	▁৩৬
183426	▁৩৮
183828	▁১৩২১
186297	▁۲۰۰
187580	▁৫৫
188298	▁৩৪
189397	▁២
192498	▁१७
195947	▁৬৬
199600	▁၀
201796	▁२००
202068	▁৬৫
203929	▁११
206620	▁৭৮
207038	▁৪৯
208207	▁৪০০
209047	▁২০১০
210062	▁۱۵
210967	▁૩
215346	▁৩৭
216318	▁१४
218914	▁१००
218992	▁१३
220046	▁१८४
222679	▁১৯৬৫
223714	▁৭৭
223766	▁٣
229380	▁৩৩
231798	▁৫৮
233111	▁৫১
234475	▁১৯৪৭
235215	▁৫৭
235455	▁৬৮
235848	▁১৫০
235931	▁១
